2025-09-12 05:45:16.356 main  header: Sec-Fetch-User: ?1
2025-09-12 05:45:16.356 main  header: Sec-Fetch-Dest: document
2025-09-12 05:45:16.356 main  header: Accept-Encoding: gzip, deflate, br, zstd
2025-09-12 05:45:16.356 main  header: Accept-Language: en-US,en;q=0.9
2025-09-12 16:02:40.335 main  connection from:/[0:0:0:0:0:0:0:1]:49672
2025-09-12 16:02:40.376 main  Request line: GET /favicon.ico HTTP/1.1
2025-09-12 16:02:40.391 main  header: Host: localhost:8000
2025-09-12 16:02:40.391 main  header: Connection: keep-alive
2025-09-12 16:02:40.392 main  header: sec-ch-ua-platform: "Windows"
2025-09-12 16:02:40.392 main  header: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36
2025-09-12 16:02:40.392 main  header: sec-ch-ua: "Chromium";v="140", "Not=A?Brand";v="24", "Google Chrome";v="140"
2025-09-12 16:02:40.393 main  header: sec-ch-ua-mobile: ?0
2025-09-12 16:02:40.393 main  header: Accept: image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8
2025-09-12 16:02:40.393 main  header: Sec-Fetch-Site: same-origin
2025-09-12 16:02:40.393 main  header: Sec-Fetch-Mode: no-cors
2025-09-12 16:02:40.394 main  header: Sec-Fetch-Dest: image
2025-09-12 16:02:40.394 main  header: Referer: http://localhost:8000/index.html
2025-09-12 16:02:40.394 main  header: Accept-Encoding: gzip, deflate, br, zstd
2025-09-12 16:02:40.394 main  header: Accept-Language: en-US,en;q=0.9
